Продукт,Старая цена,Новая цена,Процент скидки,Время скидки
"Конфеты Зарянка в/н (в) к/уп:6,5",39.99,27.99,−30%,с 13 апреля до 10 мая
"Конфеты Зарянка в/н (в) к/уп:6,5",39.99,27.99,−30%,с 13 апреля до 10 мая
"Батончик мини ROOF возд кукур (в) к/уп:2,5",39.99,27.99,−30%,с 13 апреля до 10 мая
"Батончик мини ROOF возд кукур (в) к/уп:2,5",39.99,27.99,−30%,с 13 апреля до 10 мая
"Батончик мини ROOF возд кукур (в) к/уп:2,5",39.99,27.99,−30%,с 13 апреля до 10 мая
"Палочки соленые СОЛТЛЕТС, классические, 75г",35.6,27.99,−21%,с 07 апреля до 04 мая
"Сосиски КОРОВИНО, Молочные традиционные (ОМПК), 1кг",44.89,29.99,−33%,с 13 апреля до 26 апреля
"Бульон МАГГИ®, с курицей, 100г",37.99,29.99,−21%,с 07 апреля до 04 мая
"Корм для активных собак PURINA® ONE Мини говядина-картофель-морковь, 85г",34.10,29.99,−12%,с 13 апреля до 19 апреля
"Корм для взрослых собак PURINA® ONE Мини говядина-картофель-горох, 85г",34.10,29.99,−12%,с 13 апреля до 19 апреля
"Корм для взрослых собак PURINA® ONE Мини курица-морковь-фасоль, 85г",34.10,29.99,−12%,с 13 апреля до 19 апреля
"Сок ДОБРЫЙ, Яблоко-персик, 200мл",36.10,29.99,−17%,с 13 апреля до 19 апреля
"Сок ДОБРЫЙ, Яблоко-вишня, 200мл",36.10,29.99,−17%,с 13 апреля до 19 апреля
"Биотворог ТЕМА, Банан, 4,2%, 100г",37.99,29.99,−21%,с 07 апреля до 04 мая
"Корм для взрослых собак PURINA® ONE Мини говядина-картофель-горох, 85г",34.10,29.99,−12%,с 13 апреля до 19 апреля
"Корм для взрослых собак PURINA® ONE Мини курица-морковь-фасоль, 85г",34.10,29.99,−12%,с 13 апреля до 19 апреля
"Сок ДОБРЫЙ, Яблочный осветленный, 200мл",36.10,29.99,−17%,с 13 апреля до 19 апреля
"Корм для активных собак PURINA® ONE Мини говядина-картофель-морковь, 85г",34.10,29.99,−12%,с 13 апреля до 19 апреля
"Корм для активных собак PURINA® ONE Мини утка-паста-фасоль, 85г",34.10,29.99,−12%,с 13 апреля до 19 апреля
"Корм для собак PURINA® ONE Контроль веса Мини индейка-морковь-горох, 85г",34.10,29.99,−12%,с 13 апреля до 19 апреля
"Биотворог ТЕМА, Груша, 4,2%, 100г",37.99,29.99,−21%,с 07 апреля до 04 мая
Ореховое царство (в) к/уп:7,42.99,29.99,−30%,с 13 апреля до 10 мая
"Биотворог ТЕМА Манго-клубника 4,2%, 100г",37.99,29.99,−21%,с 07 апреля до 04 мая
Ореховое царство (в) к/уп:7,42.99,29.99,−30%,с 13 апреля до 10 мая
"Сосиски КОРОВИНО, Молочные традиционные (ОМПК), 1кг",43.19,29.99,−31%,с 13 апреля до 26 апреля
"Корм для активных собак PURINA® ONE Мини утка-паста-фасоль, 85г",34.10,29.99,−12%,с 13 апреля до 19 апреля
"Конфеты РОМАШКИ, шоколадные (Рот Фронт), 1кг",59.898,30.99,−48%,с 07 апреля до 04 мая
"Конфеты РОМАШКИ, шоколадные (Рот Фронт), 1кг",60.011,30.99,−48%,с 07 апреля до 04 мая
"Батончики РОТ ФРОНТ, 1кг",63.40,32.99,−48%,с 13 апреля до 19 апреля
Десерт Паркур (в) к/уп:3,46.99,32.99,−30%,с 13 апреля до 10 мая
Десерт Паркур (в) к/уп:3,46.99,32.99,−30%,с 13 апреля до 10 мая
Десерт Паркур (в) к/уп:3,46.99,32.99,−30%,с 13 апреля до 10 мая
"Активиа БЗМЖ Биойогурт натуральный 3,5%, 130г",45.20,32.99,−27%,с 13 апреля до 19 апреля
"Биотворог ТЕМА, Яблоко-морковь, 4,2%, 100г",37.99,32.99,−13%,с 07 апреля до 04 мая
"Биотворог ТЕМА, Банан, 4,2%, 100г",37.99,32.99,−13%,с 07 апреля до 04 мая
"Конфеты РОМАШКИ, шоколадные (Рот Фронт), 1кг",62.601,32.99,−47%,с 07 апреля до 04 мая
"Активиа БЗМЖ Биойогурт вишня 2,9%, 130г",45.20,32.99,−27%,с 13 апреля до 19 апреля
"Биотворог ТЁМА, Яблоко-персик-банан, 4,2%, 100г",37.99,32.99,−13%,с 07 апреля до 04 мая
"Активиа БЗМЖ Биойогурт чернослив 2,9%, 130г",45.20,32.99,−27%,с 13 апреля до 19 апреля
