Продукт,Старая цена,Новая цена,Процент скидки,Время скидки
"Напиток газированный НАПИТКИ ИЗ ЧЕРНОГОЛОВКИ, Дюшес, 500мл",69.90,57.99,−17%,с 13 апреля до 19 апреля
"Напиток пивной DOCTOR DIESEL Арбуз-грейпфрут светлый 4,5%, 0,33л",79.99,57.99,−28%,с 07 апреля до 04 мая
"Напиток газированный НАПИТКИ ИЗ ЧЕРНОГОЛОВКИ, Байкал, 500мл",69.90,57.99,−17%,с 13 апреля до 19 апреля
"Напиток пивной DOCTOR DIESEL Арбуз-грейпфрут светлый 4,5%, 0,33л",79.99,57.99,−28%,с 07 апреля до 04 мая
"Напиток газированный ЧЕРНОГОЛОВКА крюшон, 500мл",69.90,57.99,−17%,с 13 апреля до 19 апреля
"Напиток пивной DOCTOR DIESEL Малина-гранат светлый нефильтрованный 4,5%, 0,33л",79.99,57.99,−28%,с 07 апреля до 04 мая
"Напиток пивной DOCTOR DIESEL Малина-гранат светлый нефильтрованный 4,5%, 0,33л",79.99,57.99,−28%,с 07 апреля до 04 мая
"Напиток пивной DOCTOR DIESEL Манго-маракуйя светлый 4,5%, 0,33л",79.99,57.99,−28%,с 07 апреля до 04 мая
"Газированный напиток НАПИТКИ ИЗ ЧЕРНОГОЛОВКИ, Тархун, 500мл",69.90,57.99,−17%,с 13 апреля до 19 апреля
"Напиток пивной DOCTOR DIESEL Манго-маракуйя светлый 4,5%, 0,33л",79.99,57.99,−28%,с 07 апреля до 04 мая
"Молоко СЛАВЯНСКИЕ КРУЖЕВА ультрапастеризованное 3,2%, 930мл",76.99,59.89,−22%,с 07 апреля до 04 мая
"Молоко СЛАВЯНСКИЕ КРУЖЕВА ультрапастеризованное 3,2%, 930мл",76.99,59.89,−22%,с 07 апреля до 04 мая
"Молоко СЛАВЯНСКИЕ КРУЖЕВА ультрапастеризованное 3,2%, 930мл",76.99,59.89,−22%,с 07 апреля до 04 мая
"Цикорий БОЛЬШАЯ ЧАШКА растворимый, 85г",89.99,59.99,−33%,с 07 апреля до 04 мая
"Напиток пивной ЭССА ананас-грейпфрут 6,5%, 0,45л",82.99,59.99,−28%,с 07 апреля до 04 мая
"Напиток пивной ЭССА ананас-грейпфрут 6,5%, 0,45л",82.99,59.99,−28%,с 07 апреля до 04 мая
"Напиток пивной ЭССА лайм-мята пастеризованный 6,5%, 0,45л",82.99,59.99,−28%,с 07 апреля до 04 мая
"Напиток пивной ЭССА лайм-мята пастеризованный 6,5%, 0,45л",82.99,59.99,−28%,с 07 апреля до 04 мая
"Напиток пивной ЭССА лайм-мята пастеризованный 6,5%, 0,45л",82.99,59.99,−28%,с 07 апреля до 04 мая
"Напиток пивной ЭССА апельсин-вишня 6,5%, 0,45л",82.99,59.99,−28%,с 07 апреля до 04 мая
"Напиток пивной ЭССА апельсин-вишня 6,5%, 0,45л",82.99,59.99,−28%,с 07 апреля до 04 мая
"ПАШТЕТ ПЕЧЕНОЧНЫЙ со сливочным маслом, ГОСТ (Йошкар-Олинский МК), 100г",84.99,59.99,−29%,с 07 апреля до 04 мая
"Вафли сливочные КОЛОМЕНСКОЕ, традиционные, 220г",85.99,59.99,−30%,с 07 апреля до 04 мая
"Вафли КОЛОМЕНСКОЕ глазированные с арахисом и фундуком, 160г",85.99,59.99,−30%,с 07 апреля до 04 мая
"Килька ЗНАК КАЧЕСТВА обжаренная в томатном соусе, 240г",80.00,59.99,−25%,с 13 апреля до 19 апреля
"Напиток пивной ЭССА апельсин-вишня 6,5%, 0,45л",82.99,59.99,−28%,с 07 апреля до 04 мая
"Шоколад молочный NESQUIK® Злаки-ягоды, 100г",94.99,59.99,−37%,с 07 апреля до 04 мая
Напиток пивной ДОКТОР ДИЗЕЛЬ Манго-красный апельсин 6%,78.90,59.99,−24%,с 13 апреля до 19 апреля
"Шоколад молочный NESQUIK® Злаки-ягоды, 100г",95.99,59.99,−38%,с 07 апреля до 04 мая
"Шоколад НЕСКВИК молочный с молочной начинкой/какао-печенье, 95г",94.99,59.99,−37%,с 07 апреля до 04 мая
"Шоколад НЕСКВИК молочный с молочной начинкой/какао-печенье, 95г",92.99,59.99,−35%,с 07 апреля до 04 мая
"Шоколад NESQUIK® с молочной начинкой, 100г",86.99,59.99,−31%,с 07 апреля до 04 мая
"Шоколад NESQUIK® с молочной начинкой, 100г",95.99,59.99,−38%,с 07 апреля до 04 мая
"Шоколад NESQUIK® с молочной начинкой, 100г",94.99,59.99,−37%,с 07 апреля до 04 мая
"Пивной напиток ДОКТОР ДИЗЕЛЬ, клубника-лайм, 4,4%, 0,45л",78.90,59.99,−24%,с 13 апреля до 19 апреля
"Шоколад молочный NESQUIK® Злаки-ягоды, 100г",86.99,59.99,−31%,с 07 апреля до 04 мая
"Пиво ХЕЙНЕКЕН светлое пастеризованное 4,8%, 0,43л",89.99,59.99,−33%,с 07 апреля до 04 мая
"Килька ЗНАК КАЧЕСТВА обжаренная в томатном соусе, 240г",80.00,59.99,−25%,с 13 апреля до 19 апреля
"Йогурт ДАНИССИМО арахис-шоколадный микс 2,9%, 136г",74.10,59.99,−19%,с 13 апреля до 19 апреля
"Пиво ЖАТЕЦКИЙ ГУС светлое нефильтрованное 4,8%, 0,45л",75.99,61.99,−18%,с 07 апреля до 04 мая
"Хлебцы ДР.КОРНЕР, Кукурузно-рисовые карамельные, 90г",85.10,62.99,−26%,с 13 апреля до 19 апреля
"Хлебцы ДР.КОРНЕР, Кукурузно-рисовые карамельные, 90г",86.30,62.99,−27%,с 13 апреля до 19 апреля
"Шоколад МИЛКА, с карамельной начинкой, 90г",124.99,64.99,−48%,с 07 апреля до 04 мая
"Шоколад МИЛКА, с карамельной начинкой, 90г",114.99,64.99,−43%,с 07 апреля до 04 мая
"Шоколад МИЛКА, молочный, миндаль/лесные ягоды, 90г",124.99,64.99,−48%,с 07 апреля до 04 мая
"Салфетки влажные ЭКОНОМ Смарт, универсальные, 70шт.",74.99,64.99,−13%,с 07 апреля до 04 мая
"Шоколад МИЛКА, Молочный, 90г",114.99,64.99,−43%,с 07 апреля до 04 мая
"Шоколад МИЛКА, с карамельной начинкой, 90г",125.99,64.99,−48%,с 07 апреля до 04 мая
"Пюре ГЕРБЕР, Чернослив, 80г",76.99,64.99,−16%,с 13 апреля до 26 апреля
"Пюре ГЕРБЕР, Яблоко, 80г",76.99,64.99,−16%,с 13 апреля до 26 апреля
"Пюре ГЕРБЕР, Яблоко, 80г",76.99,64.99,−16%,с 13 апреля до 26 апреля
"Пюре ГЕРБЕР, Яблоко, 80г",76.99,64.99,−16%,с 13 апреля до 26 апреля
"Шоколад МИЛКА, молочный, миндаль/лесные ягоды, 90г",126.99,64.99,−49%,с 07 апреля до 04 мая
"Пюре ГЕРБЕР, Чернослив, 80г",76.99,64.99,−16%,с 13 апреля до 26 апреля
"Шоколад МИЛКА, с фундуком и изюмом, 90г",124.99,64.99,−48%,с 07 апреля до 04 мая
"Пюре ГЕРБЕР, Груша, 80г",76.99,64.99,−16%,с 13 апреля до 26 апреля
"Пюре ГЕРБЕР, Груша, 80г",76.99,64.99,−16%,с 13 апреля до 26 апреля
"Пюре ГЕРБЕР, Груша, 80г",76.99,64.99,−16%,с 13 апреля до 26 апреля
"МАМА ЛАМА десерт творожный с бананом 5,7% 125г (ЭРМАНН):6",73.3,64.99,−11%,с 07 апреля до 04 мая
"МАМА ЛАМА десерт твор малина/пломбир 5,7% 125г (ЭРМАНН):6",73.3,64.99,−11%,с 07 апреля до 04 мая
"МАМА ЛАМА десерт твор малина/пломбир 5,7% 125г (ЭРМАНН):6",73.3,64.99,−11%,с 07 апреля до 04 мая
"МАМА ЛАМА десерт творожный с яблоком 5,7% 125г (ЭРМАНН):6",73.3,64.99,−11%,с 07 апреля до 04 мая
"Напиток пивной ЭДЕЛЬВАЙС нефильтрованный пастеризованный 4,9%, 0,43л",86.99,64.99,−25%,с 07 апреля до 04 мая
"Шоколад МИЛКА, Молочный, 90г",124.99,64.99,−48%,с 07 апреля до 04 мая
"Пюре ГЕРБЕР, Чернослив, 80г",76.99,64.99,−16%,с 13 апреля до 26 апреля
"Шоколад МИЛКА, Молочный, 90г",125.99,64.99,−48%,с 07 апреля до 04 мая
"Шоколад МИЛКА, с фундуком, 90г",124.99,64.99,−48%,с 07 апреля до 04 мая
"Шоколад МИЛКА, с фундуком и изюмом, 90г",126.99,64.99,−49%,с 07 апреля до 04 мая
"Шоколад белый АЛЬПЕН ГОЛЬД, Миндаль и кокосовая стружка, 90г",124.99,64.99,−48%,с 07 апреля до 04 мая
"Шоколад МИЛКА молочный ореховая паста с фундуком, 90г",114.99,64.99,−43%,с 07 апреля до 04 мая
"Шоколад МИЛКА молочный ореховая паста с фундуком, 90г",124.99,64.99,−48%,с 07 апреля до 04 мая
"Шоколад МИЛКА, молочный со вкусом клубники, 90г",114.99,64.99,−43%,с 07 апреля до 04 мая
"Шоколад МИЛКА, молочный со вкусом клубники, 90г",126.99,64.99,−49%,с 07 апреля до 04 мая
"Шоколад МИЛКА, молочный со вкусом клубники, 90г",124.99,64.99,−48%,с 07 апреля до 04 мая
"Шоколад МИЛКА, Молочный пористый, 80г",126.99,64.99,−49%,с 07 апреля до 04 мая
"Шоколад МИЛКА, Молочный пористый, 80г",114.99,64.99,−43%,с 07 апреля до 04 мая
"Шоколад МИЛКА, с фундуком, 90г",114.99,64.99,−43%,с 07 апреля до 04 мая
"Шоколад МИЛКА, с фундуком, 90г",125.99,64.99,−48%,с 07 апреля до 04 мая
"Шоколад МИЛКА, Молочный пористый, 80г",124.99,64.99,−48%,с 07 апреля до 04 мая
"Шоколад МИЛКА молочный ореховая паста с миндалем, 90г",124.99,64.99,−48%,с 07 апреля до 04 мая
"Шоколад МИЛКА, с фундуком и изюмом, 90г",114.99,64.99,−43%,с 07 апреля до 04 мая
"Шоколад МИЛКА, молочный, миндаль/лесные ягоды, 90г",114.99,64.99,−43%,с 07 апреля до 04 мая
"Шоколад МИЛКА молочный ореховая паста с миндалем, 90г",114.99,64.99,−43%,с 07 апреля до 04 мая
"Приправа МАГГИ® на ВТОРОЕ, Нежная курица По-итальянски, 30.6г",83.99,66.99,−20%,с 07 апреля до 04 мая
"Горошек зеленый ШЕСТЬ СОТОК, 400г",100.00,68.99,−31%,с 13 апреля до 19 апреля
"Кукуруза сладкая ШЕСТЬ СОТОК, 340г",100.00,68.99,−31%,с 13 апреля до 19 апреля
"Чипсы РУССКАЯ КАРТОШКА Камчатский краб, 110г",99.99,69.99,−30%,с 07 апреля до 04 мая
"Кетчуп ХАЙНЦ для гриля и шашлыка, 320г",98.99,69.99,−29%,с 07 апреля до 04 мая
"Кетчуп ХАЙНЦ Томатный, 320г",98.99,69.99,−29%,с 07 апреля до 04 мая
"Кетчуп ХАЙНЦ Томатный, 320г",98.99,69.99,−29%,с 07 апреля до 04 мая
"Кетчуп ХАЙНЦ Томатный, 320г",98.99,69.99,−29%,с 07 апреля до 04 мая
"Кетчуп ХАЙНЦ Острый, 320г",97.99,69.99,−29%,с 07 апреля до 04 мая
"Кетчуп ХАЙНЦ Чеснок и пряности, 320г",98.99,69.99,−29%,с 07 апреля до 04 мая
"Кетчуп ХАЙНЦ Чеснок и пряности, 320г",98.99,69.99,−29%,с 07 апреля до 04 мая
"Кетчуп ХАЙНЦ Укроп-петрушка для шашлыка, 320г",98.99,69.99,−29%,с 07 апреля до 04 мая
"Кетчуп ХАЙНЦ Итальянский, 320г",97.99,69.99,−29%,с 07 апреля до 04 мая
"Шоколад молочный АЛЕНКА, с фундуком, 100г",100.00,69.99,−30%,с 13 апреля до 19 апреля
"Шоколад АЛЕНКА, с разноцветным драже, 100г",100.00,69.99,−30%,с 13 апреля до 19 апреля
"Крупа перловая УВЕЛКА, 800г",77.80,69.99,−10%,с 13 апреля до 19 апреля
"Чипсы РУССКАЯ КАРТОШКА Камчатский краб, 110г",99.99,69.99,−30%,с 07 апреля до 04 мая
"Чипсы РУССКАЯ КАРТОШКА Камчатский краб, 110г",99.99,69.99,−30%,с 07 апреля до 04 мая
"Чипсы РУССКАЯ КАРТОШКА Камчатский краб, 110г",99.99,69.99,−30%,с 07 апреля до 04 мая
"Чипсы РУССКАЯ КАРТОШКА Камчатский краб, 110г",99.99,69.99,−30%,с 07 апреля до 04 мая
"Пиво СТЕЛЛА АРТУА светлое пастеризованное 5%, 0,44л",99.99,69.99,−30%,с 07 апреля до 04 мая
"Пиво СТЕЛЛА АРТУА, светлое пастеризованное, 5%, 0,45л",99.99,69.99,−30%,с 07 апреля до 04 мая
"Печенье ДЕРЕВЕНСКОЕ сахарное первоклассное к кофе, 355г",101.99,69.99,−31%,с 07 апреля до 04 мая
"Чипсы РУССКАЯ КАРТОШКА Камчатский краб, 110г",99.99,69.99,−30%,с 07 апреля до 04 мая
"Шоколад МИЛКА, молочный, арахис-карамель-кукузурные хлопья-рисовые шарики, 90г",138.99,69.99,−50%,с 07 апреля до 04 мая
"Кетчуп ХАЙНЦ для гриля и шашлыка, 320г",98.99,69.99,−29%,с 07 апреля до 04 мая
"Сельдь ИСЛАНДКА филе кусочки в лимонной заливке, 115г",107.99,69.99,−35%,с 07 апреля до 04 мая
"Соломка ПОМСТИКС, сметана/специи, 100г",114.99,69.99,−39%,с 07 апреля до 04 мая
"Сельдь ИСЛАНДКА филе кусочки в лимонной заливке, 115г",107.99,69.99,−35%,с 07 апреля до 04 мая
"Салатник Парма квадратный белый опал, 14см",129.99,69.99,−46%,с 07 апреля до 04 мая
"Шоколад МИЛКА, с цельным фундуком, 90г",129.99,69.99,−46%,с 07 апреля до 04 мая
"Кружка, Бэйсик, , стекло (Пашабахче), 350мл",84.99,69.99,−18%,с 07 апреля до 04 мая
"Шоколад МИЛКА, с цельным фундуком, 90г",138.99,69.99,−50%,с 07 апреля до 04 мая
"Шоколад МИЛКА БАБЛС, Пористый, кокос, 97г",138.99,69.99,−50%,с 07 апреля до 04 мая
"Шоколад МИЛКА БАБЛС, Пористый, кокос, 97г",138.99,69.99,−50%,с 07 апреля до 04 мая
"Шоколад МИЛКА, с цельным фундуком, 90г",138.99,69.99,−50%,с 07 апреля до 04 мая
"Палочки картофельные ПОМСТИКС, с солью, 100г",114.99,69.99,−39%,с 07 апреля до 04 мая
"Чай зеленый ЗЕЛЕНЫЙ ДРАКОН, китайский, крупнолистовой, 100г",79.99,71.99,−10%,с 07 апреля до 04 мая
"Шарики кукурузные CHICO&RICO® сметана-лук, 140г",80.00,71.99,−10%,с 13 апреля до 19 апреля
"Молоко ПРОСТОКВАШИНО, пастеризованное, 2,5%, 930мл",83.30,72.99,−12%,с 13 апреля до 19 апреля
"Пирожное БАРНИ с абрикосовой начинкой, 150г",132.99,74.99,−44%,с 10 марта до 04 мая
"Шарики кукурузные СЫР BALL® сыр, 140г",94.99,74.99,−21%,с 13 апреля до 26 апреля
"Мармелад БОН ПАРИ жевательный, Бравокадо, 100 г",105.35,74.99,−29%,с 07 апреля до 04 мая
"Макаронные изделия МАЛЬТАЛЬЯТТИ, Рожки средние №38, 500г",99.99,74.99,−25%,с 07 апреля до 04 мая
"Мармелад БОН ПАРИ жевательный Скрепыши фруктовые, 100г",105.35,74.99,−29%,с 07 апреля до 04 мая
"Мармелад жевательный БОН ПАРИ Медвежонок и Ко, 120г",105.35,74.99,−29%,с 07 апреля до 04 мая
"Мармелад жевательный БОН-ПАРИ Страна единорогов, 100г",105.35,74.99,−29%,с 07 апреля до 04 мая
"Шарики кукурузные СЫР BALL® сыр, 140г",94.99,74.99,−21%,с 13 апреля до 26 апреля
"Макаронные изделия МАЛЬТАЛЬЯТТИ, Рожки средние №38, 500г",95.99,74.99,−22%,с 07 апреля до 04 мая
"Шарики кукурузные СЫР BALL® сыр, 140г",94.90,74.99,−21%,с 13 апреля до 19 апреля
"Шарики кукурузные СЫР BALL® сыр, 140г",94.99,74.99,−21%,с 13 апреля до 26 апреля
"Мармелад жевательный БОН ПАРИ кислые змейки, 120г",105.35,74.99,−29%,с 07 апреля до 04 мая
"Паштет МИХАЙЛОВ КУРЕНЬ, Печеночный, 250г",90.30,74.99,−17%,с 13 апреля до 19 апреля
"Спагетти МАЛЬТАЛЬЯТИ, №2/№4, 500г",99.99,74.99,−25%,с 07 апреля до 04 мая
"Вермишель МАЛЬТАЛЬЯТТИ, 500г",94.99,74.99,−21%,с 07 апреля до 04 мая
"Макароны МАЛЬТАЛЬЯТИ, Ракушка мелкая №040, 500г",95.99,74.99,−22%,с 07 апреля до 04 мая
"Макароны МАЛЬТАЛЬЯТИ, Ракушка мелкая №040, 500г",94.99,74.99,−21%,с 07 апреля до 04 мая
"Макаронные изделия МАЛЬТАЛЬЯТТИ, Рожки средние №38, 500г",94.99,74.99,−21%,с 07 апреля до 04 мая
"Вермишель МАЛЬТАЛЬЯТТИ, 500г",95.99,74.99,−22%,с 07 апреля до 04 мая
"Приправа МАГГИ®, Универсальная, овощная, 200г",89.99,74.99,−17%,с 07 апреля до 04 мая
"Паштет МИХАЙЛОВ КУРЕНЬ, Печеночный, 250г",90.30,74.99,−17%,с 13 апреля до 19 апреля
"Шарики кукурузные СЫР BALL® сыр, 140г",94.90,74.99,−21%,с 13 апреля до 19 апреля
"Акварельки МАЛВИКЪ Карамель леденцовая ассорти, 180г",105.50,76.99,−27%,с 13 апреля до 19 апреля
"Пюре ГЕРБЕР, Яблоко-банан, с 6 месяцев, 90г",89.99,77.99,−13%,с 07 апреля до 04 мая
"Пюре ГЕРБЕР, Яблоко, с 4 месяцев, 90г",89.99,77.99,−13%,с 07 апреля до 04 мая
"Пюре ГЕРБЕР, 4 фрукта, с 6 месяцев, 90г",89.99,77.99,−13%,с 07 апреля до 04 мая
"Соус ХАЙЦ Брусничный, 230г",108.99,79.99,−27%,с 07 апреля до 04 мая
"Сельдь ДОБРОФЛОТ, тихоокеанская, 245г",124.99,79.99,−36%,с 07 апреля до 04 мая
"Печенье 7ДЭЙЗ, мини, в шоколадной глазури с кремом какао, 100г",101.99,79.99,−22%,с 07 апреля до 04 мая
"Чипсы РУССКАЯ КАРТОШКА Камчатский краб, 200г",169.99,79.99,−53%,с 07 апреля до 04 мая
"Чипсы РУССКАЯ КАРТОШКА Лук и сметана, 200г",169.99,79.99,−53%,с 07 апреля до 04 мая
"Чипсы РУССКАЯ КАРТОШКА Лук и сметана, 200г",169.99,79.99,−53%,с 07 апреля до 04 мая
"Чипсы РУССКАЯ КАРТОШКА Лук и сметана, 200г",169.99,79.99,−53%,с 07 апреля до 04 мая
"Котлеты БЛИЖНИЕ ГОРКИ для бургера из свинины охлажденные, 200г",136.99,79.99,−42%,с 07 апреля до 04 мая
"Чипсы РУССКАЯ КАРТОШКА Лук и сметана, 200г",169.99,79.99,−53%,с 07 апреля до 04 мая
"Фасоль БОНДЮЭЛЬ, белая, 425мл",109.99,79.99,−27%,с 07 апреля до 04 мая
"Чипсы РУССКАЯ КАРТОШКА Камчатский краб, 200г",169.99,79.99,−53%,с 07 апреля до 04 мая
"Фасоль белая БОНДЮЭЛЬ, в томатном соусе, 425мл",109.99,79.99,−27%,с 07 апреля до 04 мая
"Тарелка суповая Парма квадратная белый опал, 23см",159.99,79.99,−50%,с 07 апреля до 04 мая
"Тарелка десертная Парма квадратная белый опал, 20см",139.99,79.99,−43%,с 07 апреля до 04 мая
"Чипсы РУССКАЯ КАРТОШКА Камчатский краб, 200г",169.99,79.99,−53%,с 07 апреля до 04 мая
"Чипсы РУССКАЯ КАРТОШКА Камчатский краб, 200г",169.99,79.99,−53%,с 07 апреля до 04 мая
"Суфле БОН ПАРИ, 90г",125.99,79.99,−37%,с 07 апреля до 04 мая
"Соус ХАЙНЦ, Цезарь, 230г",111.99,79.99,−29%,с 07 апреля до 04 мая
"Сметана ПРОСТОКВАШИНО 15%, 300г",96.40,82.99,−14%,с 13 апреля до 19 апреля
"Шоколад БАБАЕВСКИЙ горький, 100г",130.80,84.99,−35%,с 13 апреля до 19 апреля
"Шоколад Люкс, 100г",123.20,84.99,−31%,с 13 апреля до 19 апреля
"Шоколад МИЛКА Сэндвич Орео молочный c печеньем с ванильной начинкой, 92г",134.99,84.99,−37%,с 07 апреля до 04 мая
"Шоколад БАБАЕВСКИЙ Фирменный, 100г",130.80,84.99,−35%,с 13 апреля до 19 апреля
"Кальмар САНТА БРЕМОР в сливочном соусе с креветкой, 150г",139.99,84.99,−39%,с 07 апреля до 04 мая
"Кукуруза ХАЙНЦ, Сладкая, 340г",124.99,84.99,−32%,с 07 апреля до 04 мая
"Кальмар САНТА БРЕМОР в сливочном соусе с креветкой, 150г",139.99,84.99,−39%,с 07 апреля до 04 мая
"Кальмар САНТА БРЕМОР в сливочном соусе с мясом краба имитированным, 150г",139.99,84.99,−39%,с 07 апреля до 04 мая
"Горошек зеленый ХАЙНЦ нежный, 400г",124.99,84.99,−32%,с 07 апреля до 04 мая
"Кальмар САНТА БРЕМОР в сливочном соусе с мясом краба имитированным, 150г",139.99,84.99,−39%,с 07 апреля до 04 мая
"Кукуруза ХАЙНЦ, Сладкая, 340г",124.99,84.99,−32%,с 07 апреля до 04 мая
"Печень трески МОРСКОЙ КОТИК По-скандинавски, 240г",119.99,84.99,−29%,с 07 апреля до 04 мая
"Печень трески МОРСКОЙ КОТИК По-скандинавски, 240г",119.99,84.99,−29%,с 07 апреля до 04 мая
"Сыр МИР ВКУСА Монблан Снежная Вершина 50%, 1кг",127.9,87.99,−31%,с 07 апреля до 04 мая
"Сыр МИР ВКУСА Монблан Снежная Вершина 50%, 1кг",127.9,87.99,−31%,с 07 апреля до 04 мая
"Пюре ГЕРБЕР Органик, Спелое манго, 90г",104.99,87.99,−16%,с 13 апреля до 26 апреля
"Пюре ГЕРБЕР Органик, Спелое манго, 90г",104.99,87.99,−16%,с 13 апреля до 26 апреля
"Крупа гречневая УВЕЛКА, Экстра, в пакетиках, 80гx5шт.",120.00,89.99,−25%,с 13 апреля до 19 апреля
"Соус ХАЙНЦ Черри, 230г",119.99,89.99,−25%,с 07 апреля до 04 мая
"Крупа гречневая УВЕЛКА, Экстра, в пакетиках, 80гx5шт.",108.99,89.99,−17%,с 13 апреля до 26 апреля
"Салями ФЛАМЕНКО, сырокопченая, нарезка, мини (Черкизовский МПЗ), 100г",157.59,89.99,−43%,с 13 апреля до 26 апреля
"Салями ФЛАМЕНКО, сырокопченая, нарезка, мини (Черкизовский МПЗ), 100г",156.79,89.99,−43%,с 13 апреля до 26 апреля
"Соус ХАЙНЦ Черри, 230г",119.99,89.99,−25%,с 07 апреля до 04 мая
"Конфеты ЛАСТОЧКА (красный Октябрь), 250г",156.2,89.99,−42%,с 07 апреля до 04 мая
"Салями ФЛАМЕНКО, сырокопченая, нарезка, мини (Черкизовский МПЗ), 100г",157.39,89.99,−43%,с 13 апреля до 26 апреля
"Чай холодный НЕСТИ Манго-ананас, 1,5л",134.99,89.99,−33%,с 07 апреля до 04 мая
"Салями ФЛАМЕНКО, сырокопченая, нарезка, мини (Черкизовский МПЗ), 100г",154.79,89.99,−42%,с 13 апреля до 26 апреля
"Крупа гречневая УВЕЛКА, Экстра, в пакетиках, 80гx5шт.",107.99,89.99,−17%,с 13 апреля до 26 апреля
"Крупа гречневая УВЕЛКА, Экстра, в пакетиках, 80гx5шт.",119.99,89.99,−25%,с 13 апреля до 26 апреля
"Чай зеленый НЕСТИ, Малина, 1,5л",134.99,89.99,−33%,с 07 апреля до 04 мая
"Чай черный НЕСТИ, Лесные ягоды, 1,5л",134.99,89.99,−33%,с 07 апреля до 04 мая
"Каша овсяная УВЕЛКА, Клубника со сливками, 200г",123.99,89.99,−27%,с 13 апреля до 26 апреля
"Изюм ВОСТОЧНЫЙ ГОСТЬ голден, 150г",118.5,89.99,−24%,с 07 апреля до 04 мая
"Крупа УВЕЛКА Гречневая Экстра вар/пак, 5*80г",108.40,89.99,−17%,с 13 апреля до 19 апреля
"Салями ФЛАМЕНКО, сырокопченая, нарезка, мини (Черкизовский МПЗ), 100г",156.39,89.99,−42%,с 13 апреля до 26 апреля
"Печенье БЕЛВИТА, Утреннее, сэндвич с йогуртовой начинкой, 253г",132.99,92.99,−30%,с 07 апреля до 04 мая
"Печенье БЕЛВИТА, Утреннее, сэндвич с йогуртовой начинкой, 253г",138.99,92.99,−33%,с 07 апреля до 04 мая
"Печенье БЕЛВИТА, Утреннее, сэндвич какао с йогуртовой начинкой, 253г",138.99,92.99,−33%,с 07 апреля до 04 мая
"Печенье БЕЛВИТА, Утреннее, сэндвич какао с йогуртовой начинкой, 253г",134.99,92.99,−31%,с 07 апреля до 04 мая
"Печенье БЕЛВИТА, Утреннее, сэндвич какао с йогуртовой начинкой, 253г",132.99,92.99,−30%,с 07 апреля до 04 мая
"Печенье БЕЛВИТА, Утреннее, сэндвич с йогуртовой начинкой, 253г",134.99,92.99,−31%,с 07 апреля до 04 мая
"Шоколад ЛЮКС, 1 штука (КК Бабаевский), 100г",155.70,94.99,−39%,с 13 апреля до 19 апреля
"Халва ВОСТОЧНЫЙ ГОСТЬ, Подсолнечная, 500г",119.99,94.99,−21%,с 07 апреля до 04 мая
"Напиток сывороточный МАЖИТЭЛЬ Нео папайя-манго-ананас, 950г",124.99,99.99,−20%,с 07 апреля до 04 мая
"Шоколад молочный РИТТЕР СПОРТ, Кокосовая начинка, 100г",149.99,99.99,−33%,с 07 апреля до 04 мая
"БЕКОН ИЗ СВИНИНЫ сырокопченый нарезка (Великолукский МК), 150г",182.69,99.99,−45%,с 13 апреля до 26 апреля
"БЕКОН ИЗ СВИНИНЫ сырокопченый нарезка (Великолукский МК), 150г",182.49,99.99,−45%,с 13 апреля до 26 апреля
"БЕКОН ИЗ СВИНИНЫ сырокопченый нарезка (Великолукский МК), 150г",175.09,99.99,−43%,с 13 апреля до 26 апреля
"Шоколад молочный РИТТЕР СПОРТ, Цельный миндаль, 100г",149.99,99.99,−33%,с 07 апреля до 04 мая
"БЕКОН ИЗ СВИНИНЫ сырокопченый нарезка (Великолукский МК), 150г",181.69,99.99,−45%,с 13 апреля до 26 апреля
"Шоколад молочный РИТТЕР СПОРТ, Цельный миндаль, 100г",149.99,99.99,−33%,с 07 апреля до 04 мая
"Шоколад молочный РИТТЕР СПОРТ, Цельный миндаль, 100г",149.99,99.99,−33%,с 07 апреля до 04 мая
"Печенье ОРЕО, 228г",133.30,99.99,−25%,с 13 апреля до 19 апреля
"Фасоль БОНДЮЭЛЬ, красная, 425мл",119.99,99.99,−17%,с 07 апреля до 04 мая
"Фасоль БОНДЮЭЛЬ, красная, 425мл",119.99,99.99,−17%,с 07 апреля до 04 мая
"БЕКОН ИЗ СВИНИНЫ сырокопченый нарезка (Великолукский МК), 150г",179.89,99.99,−44%,с 13 апреля до 26 апреля
"Напиток сывороточный МАЖИТЭЛЬ Нео папайя-манго-ананас, 950г",124.99,99.99,−20%,с 07 апреля до 04 мая
"Фасоль с грибами СЕМЕЙНЫЕ СЕКРЕТЫ, 530г",120.50,99.99,−17%,с 13 апреля до 19 апреля
"Тарелка обеденная Парма квадратная белый опал, 27см",159.99,99.99,−38%,с 07 апреля до 04 мая
"Соус КИНТО ГЕО, Грузинская кухня, шашлычный, 305г",129.90,99.99,−23%,с 13 апреля до 19 апреля
"Мука УВЕЛКА \\высший сорт, 2кг",119.99,99.99,−17%,с 07 апреля до 04 мая
"Крабовые палочки ВИЧИ, замороженные, 200г",159.99,99.99,−38%,с 13 апреля до 26 апреля
"Крабовые палочки ВИЧИ, замороженные, 200г",159.99,99.99,−38%,с 13 апреля до 26 апреля
"Средство чистящее ТУАЛЕТНЫЙ УТЕНОК для унитаза видимый эффект, 500мл",130.6,99.99,−23%,с 07 апреля до 04 мая
"Уксус СЕН СОЙ рисовый для суши, 220мл",122.99,99.99,−19%,с 13 апреля до 26 апреля
